n    x(n)   c(n)  xhat(n) 
728   -5.0       0.0     -11.6 
729   -5.0       0.0      -1.2 
730   -6.0       0.0      -9.0 
731   -7.0       0.0       0.8 
732   -5.0       0.0      -7.4 
733   -1.0       0.0       2.1 
734    0.0       0.0      -6.3 
735    1.0       0.0       3.0 
736    2.0       0.0      -5.6 
737    5.0       0.0       3.5 
738    6.0       0.0      10.8 
739    5.0       0.0       0.6 
740    6.0       0.0       8.5 
741    8.0       0.0      14.8 
742    7.0       0.0       3.8 
743    7.0       0.0      11.1 
744    9.0       0.0      16.9 
745    8.0       0.0       5.5 
746    7.0       0.0      12.4 
747    7.0       0.0       1.9 
748    7.0       0.0       9.5 
749    5.0       0.0      -0.4 
750    5.0       0.0       7.7 
751    4.0       0.0      -1.8 
752    1.0       0.0       6.5 
753    0.0       0.0      -2.8 
754   -1.0       0.0       5.8 
755   -2.0       0.0      -3.4 
756   -3.0       0.0     -10.7 
757   -5.0       0.0      -0.6 
758    0.0       0.0       7.6 
759   -5.0       0.0      -2.0 
760    0.0       0.0       6.4 
761   -1.0       0.0      -2.9 
762    3.0       0.0       5.7 
763    4.0       0.0      -3.4 
764    4.0       0.0       5.3 
765    6.0       0.0      12.2 
766    8.0       0.0       1.8 
767    8.0       0.0       9.4 
768    6.0       0.0      -0.5 
769    8.0       0.0       7.6 
770    7.0       0.0      14.1 
771    6.0       0.0       3.3 
772    3.0       0.0      10.6 
773    4.0       0.0       0.5 
774    4.0       0.0       8.4 
775    1.0       0.0      -1.3 
776    2.0       0.0       7.0 
777   -2.0       0.0      -2.4 
778   -1.0       0.0       6.1 
779   -1.0       0.0      -3.1 
780   -2.0       0.0       5.5 
781   -2.0       0.0      -3.6 
782   -1.0       0.0       5.1 
783   -3.0       0.0      -3.9 
784   -1.0       0.0       4.9 
785   -2.0       0.0      -4.1 
786   -1.0       0.0       4.7 
787   -3.0       0.0      -4.2 
788   -3.0       0.0       4.6 
789   -1.0       0.0      -4.3 
790    0.0       0.0       4.6 
791   -1.0       0.0      -4.4 
792   -1.0       0.0       4.5 
793    0.0       0.0      -4.4 
794    0.0       0.0       4.5 
795    1.0       0.0      -4.4 
796    1.0       0.0       4.5 
797    2.0       0.0      -4.4 
798    1.0       0.0       4.5 
799    2.0       0.0      -4.4 
800    2.0       0.0       4.5 
801    2.0       0.0      -4.4 
802    3.0       0.0       4.5 
803    4.0       0.0      11.6 
804    5.0       0.0       1.2 
805    2.0       0.0       9.0 
806    3.0       0.0      -0.8 
807    3.0       0.0       7.4 
808    2.0       0.0      -2.1 
809    0.0       0.0       6.3 
810    1.0       0.0      -3.0 
811    0.0       0.0       5.6 
812    1.0       0.0      -3.5 
813    1.0       0.0       5.2 
814   -1.0       0.0      -3.8 
815   -1.0       0.0       4.9 
816   -1.0       0.0      -4.1 
817    1.0       0.0       4.8 
818    2.0       0.0      -4.2 
819    2.0       0.0       4.6 
820    1.0       0.0      -4.3 
821    3.0       0.0       4.6 
822    2.0       0.0      -4.3 
823    2.0       0.0       4.5 
824    5.0       0.0      11.6 
825    2.0       0.0       1.3 
826    3.0       0.0       9.0 
827    1.0       0.0      -0.8 
828   -1.0       0.0      -8.6 
829   -2.0       0.0       1.1 
830    0.0       0.0      -7.1 
831    0.0       0.0       2.3 
832   -2.0       0.0      -6.2 
833   -2.0       0.0       3.1 
834   -2.0       0.0      -5.5 
835   -1.0       0.0       3.6 
836   -1.0       0.0      -5.1 
837   -1.0       0.0       3.9 
838    1.0       0.0      -4.9 
839   -1.0       0.0       4.1 
840    1.0       0.0      -4.7 
841    2.0       0.0       4.2 
842    2.0       0.0      -4.6 
843    2.0       0.0       4.3 
844    2.0       0.0      -4.6 
845   -1.0       0.0       4.4 
846    0.0       0.0      -4.5 
847   -1.0       0.0       4.4 
848   -2.0       0.0      -4.5 
849   -5.0       0.0     -11.6 
850   -5.0       0.0      -1.3 
851   -9.0       0.0      -9.0 
852   -6.0       0.0       0.8 
853   -7.0       0.0      -7.4 
854   -7.0       0.0     -13.9 
855   -7.0       0.0      -3.1 
856   -6.0       0.0     -10.5 
857   -3.0       0.0      -0.4 
858   -5.0       0.0      -8.3 
859   -1.0       0.0       1.3 
860   -5.0       0.0      -6.9 
861   -2.0       0.0       2.5 
862   -3.0       0.0      -6.0 
863   -4.0       0.0       3.2 
864   -1.0       0.0      -5.5 
865   -2.0       0.0       3.6 
866   -2.0       0.0      -5.1 
867   -1.0       0.0       3.9 
868   -6.0       0.0      -4.9 
869   -7.0       0.0     -11.9 
870  -11.0       0.0     -17.5 
871  -11.0       0.0      -6.0 
872  -12.0       0.0     -12.8 
873  -11.0       0.0     -18.2 
